"_id","_labels","_applyNeo4jNaming","_classLabel","_dataTypePropertyLabel","_domainRel","_handleMultival","_handleRDFTypes","_handleVocabUris","_keepCustomDataTypes","_keepLangTag","_objectPropertyLabel","_rangeRel","_subClassOfRel","_subPropertyOfRel","date","description","exhibit","height","img","name","sitelink","uri","width","_start","_end","_type"
"4104","","","","","","","","","","","","","","","","painting by Vincent van Gogh, Kröller-Müller Museum","","","","","","http://www.wikidata.org/entity/Q26221140","",,,
"4105","","","","","","","","","","","","","","","1888-04-01T00:00","","","","","Flowering orchard, surrounded by cypress","","http://www.wikidata.org/entity/Q26221144","",,,
"4106","","","","","","","","","","","","","","","1888-04-01T00:00","","","","","Orchard with Peach Trees in Blossom","","http://www.wikidata.org/entity/Q26221143","",,,
"4107","","","","","","","","","","","","","","","","","","","","The Restaurant Carrel in Arles","","http://www.wikidata.org/entity/Q26221141","",,,
"4108","","","","","","","","","","","","","","","","","","","","Gauguin, his friends: the Pont-Aven School and the Julian Academy","","http://www.wikidata.org/entity/Q28860139","",,,
"4109","","","","","","","","","","","","","","","","German exhibition","","","","International Exhibition of Art and Horticulture","","http://www.wikidata.org/entity/Q28860136","",,,
"4110",":Paintings","","","","","","","","","","","","","","1885-07-01T00:00","painting by Vincent van Gogh","","63.5","http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Caba%C3%B1a%20con%20campesino%20regresando%20a%20casa.jpg","Scene of a Cottage with a Peasant Coming Back Home","2","http://www.wikidata.org/entity/Q19677293","76.0",,,
"4111",":Keyword","","","","","","","","","","","","","","","piece of furniture on which several people may sit at the same time","","","","bench","64","http://www.wikidata.org/entity/Q204776","",,,
"4112",":Keyword","","","","","","","","","","","","","","","chief dwellings attached to farms, particularly a dwelling for the family of a family-owned and -operated farm","","","","farmhouse","17","http://www.wikidata.org/entity/Q489357","",,,
"4113",":Keyword","","","","","","","","","","","","","","","species of plant known as lilac","","","","Syringa vulgaris","49","http://www.wikidata.org/entity/Q6565319","",,,
"4114",":Keyword","","","","","","","","","","","","","","","form of matter","","","","foam","65","http://www.wikidata.org/entity/Q215414","",,,
"4115",":Collection","","","","","","","","","","","","","","","museum in Amsterdam, the Netherlands","","","","Stedelijk Museum Amsterdam","32","http://www.wikidata.org/entity/Q924335","",,,
"4116","","","","","","","","","","","","","","","","intentional planting of trees or shrubs that is maintained for food production","","","","orchard","","http://www.wikidata.org/entity/Q236371","",,,
"4117",":Collection","","","","","","","","","","","","","","","museum in Paris","","","","Luxembourg Museum","22","http://www.wikidata.org/entity/Q1411180","",,,
"4118",":Paintings","","","","","","","","","","","","","","1883-01-01T00:00","painting by Vincent van Gogh","","35.0","http://commons.wikimedia.org/wiki/Special:FilePath/Wind-Beaten%20Tree%2C%20A.jpg","A Wind-Beaten Tree","4","http://www.wikidata.org/entity/Q4660659","47.0",,,
"4119",":Paintings","","","","","","","","","","","","","","1885-12-01T00:00","painting by Vincent van Gogh","","35.0","http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Head%20of%20a%20prostitute%20-%20Google%20Art%20Project.jpg","Head of a Prostitute","2","http://www.wikidata.org/entity/Q11708249","24.0",,,
"4120",":Paintings","","","","","","","","","","","","","","1889-01-01T00:00","painting by Vincent van Gogh in the J. Paul Getty Museums","","28.0","http://commons.wikimedia.org/wiki/Special:FilePath/Irises-Vincent%20van%20Gogh.jpg","Irises","38","http://www.wikidata.org/entity/Q2282256","36.625",,,
"4121",":Keyword","","","","","","","","","","","","","","","town in the Netherlands","","","","Nuenen","18","http://www.wikidata.org/entity/Q153516","",,,
"4122",":Keyword","","","","","","","","","","","","","","","boulevard in Paris, France","","","","boulevard de Clichy","5","http://www.wikidata.org/entity/Q2921981","",,,
"4123",":Keyword","","","","","","","","","","","","","","","growth form","","","","treelet","0","http://www.wikidata.org/entity/Q3305192","",,,
"4124",":Keyword","","","","","","","","","","","","","","","fruit of the quince plant (Cydonia, Pseudocydonia)","","","","quince","8","http://www.wikidata.org/entity/Q2751465","",,,
"4125",":Keyword","","","","","","","","","","","","","","","area of the human body beneath the joint between arm and torso","","","","armpit","82","http://www.wikidata.org/entity/Q499","",,,
"4126",":Paintings","","","","","","","","","","","","","","1884-01-01T00:00","painting by Vincent van Gogh","","149.0","http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Bauern%20beim%20Kartoffelsetzen.jpeg","Peasants Planting Potatoes","1","http://www.wikidata.org/entity/Q24020409","66.0",,,
"4127",":Material","","","","","","","","","","","","","","","individual frame in the multiple-panel sequence of a comic","","","","panel","10","http://www.wikidata.org/entity/Q1366174","",,,
"4128","","","","","","","","","","","","","","","1888-04-01T00:00","","","","","Orchard in Blossom, Bordered by Cypresses","","http://www.wikidata.org/entity/Q24020406","",,,
"4129",":Exhibition","","","","","","","","","","","","","","","German art exhibition","","","","French Painting of the 19th Century","0","http://www.wikidata.org/entity/Q28910491","",,,
"4130","","","","","","","","","","","","","","","","painting by Vincent van Gogh (KM KM 105.833)","","","","Self portrait by Vincent van Gogh","","http://www.wikidata.org/entity/Q24020402","",,,
"4131",":Exhibition","","","","","","","","","","","","","","","French art exhibition","","","","Theory and Practice of the Landscape of Corot in Bonnard","0","http://www.wikidata.org/entity/Q28910494","",,,
"4132",":Keyword","","","","","","","","","","","","","","","layer of plant life growing above the shrub layer and below the canopy","","","","understory","24","http://www.wikidata.org/entity/Q422666","",,,
"4133",":Exhibition","","","","","","","","","","","","","","","Japanese art exhibition","","","","Paris Around 1882: The Development of Modern Painting in France and Yamamoto Hōsui","0","http://www.wikidata.org/entity/Q28910498","",,,
"4134",":Paintings","","","","","","","","","","","","","","1884-12-01T00:00","painting by Vincent van Gogh (Saint Louis Art Museum)","","43.8","http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Head%20of%20a%20Peasant%20Woman.jpg","Head of a Peasant Woman","1","http://www.wikidata.org/entity/Q26242941","34.6",,,
"4135",":Paintings","","","","","","","","","","","","","","1886-01-01T00:00","painting by Vincent van Gogh  (Van Gogh Museum, s0012V1962)","","56.0","http://commons.wikimedia.org/wiki/Special:FilePath/De%20heuvel%20van%20Montmartre%20met%20steengroeve%20-%20s0012V1962%20-%20Van%20Gogh%20Museum.jpg","The Hill of Montmartre with Stone Quarry","1","http://www.wikidata.org/entity/Q19835986","62.5",,,
"4136",":Collection","","","","","","","","","","","","","","","art museum in Mannheim","","","","Kunsthalle Mannheim","12","http://www.wikidata.org/entity/Q468458","",,,
"4137",":Paintings","","","","","","","","","","","","","","1890-06-01T00:00","painting by Vincent van Gogh","","92.0","http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20Willem%20van%20Gogh%20097.jpg","Peasant Woman Against a Background of Wheat","9","http://www.wikidata.org/entity/Q594477","73.0",,,
"4138","","","","","","","","","","","","","","","","Italian tin-glazed pottery dating from the Renaissance period and in the broad sense also other types of coloured glazed pottery","","","","majolica","","http://www.wikidata.org/entity/Q622753","",,,
"4139",":Keyword","","","","","","","","","","","","","","","object or device that emits light","","","","light source","23","http://www.wikidata.org/entity/Q1146001","",,,
"4140",":Paintings","","","","","","","","","","","","","","1885-01-01T00:00","painting by Vincent van Gogh","","40.0","http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20aardewerk%20en%20flessen%20-%20s0138V1962%20-%20Van%20Gogh%20Museum.jpg","Still Life with Earthenware and Bottles","1","http://www.wikidata.org/entity/Q19833797","56.0",,,
"4141",":Paintings","","","","","","","","","","","","","","1884-11-01T00:00","painting by Vincent van Gogh, 1884 - 1885","","31.5","http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20flessen%20en%20aardewerk%20-%20s0060V1962r%20-%20Van%20Gogh%20Museum.jpg","Still Life with Bottles and Earthenware","1","http://www.wikidata.org/entity/Q19833798","41.8",,,
"4142",":Paintings","","","","","","","","","","","","","","1886-01-01T00:00","painting by Vincent van Gogh (Van Gogh Museum, s0201V1962)","","35.0","http://commons.wikimedia.org/wiki/Special:FilePath/Venustorso%20-%20s0201V1962%20-%20Van%20Gogh%20Museum.jpg","Torso of Venus","1","http://www.wikidata.org/entity/Q19835975","27.0",,,
"4143",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887","","41.0","http://commons.wikimedia.org/wiki/Special:FilePath/Zelfportret%20met%20strohoed%20-%20s0060V1962v%20-%20Van%20Gogh%20Museum.jpg","Self-Portrait with Straw Hat","1","http://www.wikidata.org/entity/Q19833799","31.0",,,
